Campus,StudyField,Branch,Role,EduLevel,ProgLang,Databases,Platform,WebFramework,Industry,AISearch,AITool,Employment
Durban Campus,Information Technology,I am a developer by profession,Engineering manager,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C#;TypeScript,SQL,Microsoft Azure,Vue.js,Other,Bing AI;ChatGPT,Rubber Duck.AI,"Employed, full-time"
Durban Campus,DS,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Microsoft Azure,Angular,"Manufacturing, Transportation, or Supply Chain",Unknown,Codeium;GitHub Copilot,"Employed, full-time"
Midrand Campus,DS,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,SQL,Unknown,Angular,Higher Education,WolframAlpha,AWS CodeWhisperer;GitHub Copilot;Mintlify,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Midrand Campus,DS,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,Firebase Realtime Database;MongoDB,Firebase;Heroku;Netlify;Render;Vercel,React,Financial Services,ChatGPT,Codeium;Synk Code;Whispr AI,"Employed, part-time"
Nelson Mandela Bay Campus,CS,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Heroku;IBM Cloud Or Watson;Microsoft Azure;Netlify;Render;Vercel,React,Advertising Services,Bing AI;ChatGPT,AWS CodeWhisperer;Codeium;Tabnine;Whispr AI,"Employed, full-time"
Durban Campus,Information Technology,I am a developer by profession,"Developer, desktop or enterprise applications","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",JavaScript,SQL,Unknown,ASP.NET;ASP.NET CORE;jQuery,Healthcare,Unknown,Tabnine;Whispr AI,"Employed, full-time;Student, full-time"
Tyger Valley Campus,DS,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS,SQL,Amazon Web Services (AWS);Microsoft Azure,Angular,Advertising Services,Unknown,GitHub Copilot;Replit Ghostwriter;Tabnine,"Employed, full-time"
Midrand Campus,Information Technology,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Cloudflare;Firebase;Netlify,React,"Manufacturing, Transportation, or Supply Chain",ChatGPT,GitHub Copilot;Rubber Duck.AI,"Employed, full-time"
Durban Campus,DS,I am a developer by profession,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",JavaScript,SQL,Hetzner,React,"Manufacturing, Transportation, or Supply Chain",Unknown,Rubber Duck.AI;Tabnine,"Employed, full-time"
Durban Campus,Information Technology,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python,SQL,Amazon Web Services (AWS);Google Cloud,Django,Oil & Gas,Unknown,AWS CodeWhisperer;Tabnine,"Employed, full-time"
